"match_type";"class";"subclass";"match_expression";"match_amount"
"amount";"Carro";"Combustível";"PAULO CESAR ";-175.02
"amount";"Carro";"Seguro";"Pagamento de Título";-327.9
"amount";"Diversao";"Festa";"CANTUCCI";-3562.91
"amount";"Diversao";"Festa";"Cheque";-2900
"amount";"Diversao";"Festa";"H PLUS";-696.9
"amount";"Diversao";"Festa";"JOSE DE RIBAMAR ";-457
"amount";"Diversao";"Festa";"PEPITA";-156.2
"amount";"Diversao";"Festa";"PEPITA";-3562.91
"amount";"Entradas";"Transferências";"DOC";1000
"amount";"Financiamento";"";"TED";-2000
"amount";"Investimento";"Renda Fixa";"TED";-4140
"amount";"Investimento";"Renda Fixa";"TED";-3067.99
"amount";"Investimento";"Renda Fixa";"TED";-2032.21
"amount";"Saúde";"Consulta";"Cheque";-320
"amount";"Saúde";"Consultas/Exames";"Cheque Compensado";-2000
"amount";"Utilidades";"Condomínio";"Pagamento de Título";-390.96
"amount";"Utilidades";"Condomínio";"Pagamento de Título";-440
"amount";"Utilidades";"Condomínio";"Pagamento de Título";-587
"amount";"Utilidades";"Condomínio";"Pagamento de Título";-598
"amount";"Viagem";"Câmbio";"Saque com Cartão";-1135.32
"textual";"Alimentação";"Mercado";"ALIMENTOS";NA
"textual";"Alimentação";"Mercado";"BIB BOX";NA
"textual";"Alimentação";"Mercado";"BIG BOX";NA
"textual";"Alimentação";"Mercado";"CARREFOUR";NA
"textual";"Alimentação";"Mercado";"CH PLANALTAO";NA
"textual";"Alimentação";"Mercado";"CONVENIENCIA";NA
"textual";"Alimentação";"Mercado";"ELEVE MERCADO";NA
"textual";"Alimentação";"Mercado";"EXTRA ";NA
"textual";"Alimentação";"Mercado";"FRUTARIA";NA
"textual";"Alimentação";"Mercado";"HORTIFRUTI";NA
"textual";"Alimentação";"Mercado";"JC SILVA NETO";NA
"textual";"Alimentação";"Mercado";"MEL DO SOL";NA
"textual";"Alimentação";"Mercado";"PAO DE ACUCAR";NA
"textual";"Alimentação";"Mercado";"REDE DA ECONOMIA";NA
"textual";"Alimentação";"Mercado";"SUPER ADEGA";NA
"textual";"Alimentação";"Mercado";"SUPERMERCADOS";NA
"textual";"Alimentação";"Mercado";"TORTERIA";NA
"textual";"Alimentação";"Mercado";"TOSCANELLO";NA
"textual";"Alimentação";"Mercado";"VERDURAO";NA
"textual";"Alimentação";"Mercado";"WAL MART";NA
"textual";"Alimentação";"Padaria";"CASA DOCES E QUEIJO";NA
"textual";"Alimentação";"Padaria";"PADARIA";NA
"textual";"Alimentação";"Padaria";"PAES ";NA
"textual";"Alimentação";"Padaria";"PANIFICADORA";NA
"textual";"Alimentação";"Padaria";"PAO ";NA
"textual";"Carro";"Combustível";"CASCOL COMBUSTIVEIS";NA
"textual";"Carro";"Combustível";"POSTO ";NA
"textual";"Carro";"Combustível";"SHELL";NA
"textual";"Carro";"Combustível";"VERDE AMARELO";NA
"textual";"Carro";"Estacionamento";"AEROPORTO BRASILIA";NA
"textual";"Carro";"Estacionamento";"EST. IGUATEMI";NA
"textual";"Carro";"Impostos/Multas";"DETRAN";NA
"textual";"Carro";"Impostos/Multas";"INSTITUTO BOTELHO";NA
"textual";"Carro";"Manutenção";"BATERIA";NA
"textual";"Carro";"Manutenção";"HONDA PLAZA";NA
"textual";"Carro";"Manutenção";"PIONEIRA DA BORRACHA";NA
"textual";"Carro";"Manutenção";"SMAFF ASA NOR";NA
"textual";"Carro";"Seguro";"Pagto Mensalidade Seguro";NA
"textual";"Cartão Crédito";"Cartão Crédito";"PGTO DEBITO CONTA";NA
"textual";"Cartão Crédito";"Cartão Crédito";"Pagto cartão crédito";NA
"textual";"Compras";"Casa";"ATLANTIDA";NA
"textual";"Compras";"Casa";"DULAR";NA
"textual";"Compras";"Casa";"LEROY MERLIN";NA
"textual";"Compras";"Casa";"TOK";NA
"textual";"Compras";"Casa";"ZELO-BRASILIA";NA
"textual";"Compras";"Compras";"SARAIVA";NA
"textual";"Compras";"Compras";"SUBMARINO";NA
"textual";"Compras";"Livros";"EDITORA ANTROPOSOFICA";NA
"textual";"Compras";"Livros";"EDITORA TEOSOFICA";NA
"textual";"Compras";"Livros";"LIVR MARTINS FONTES";NA
"textual";"Compras";"Livros";"LIVRARIA ";NA
"textual";"Compras";"Roupas";"CAMISETAS LEGAIS";NA
"textual";"Compras";"Roupas";"DAMYLLER";NA
"textual";"Compras";"Roupas";"DECATHLTON";NA
"textual";"Compras";"Roupas";"HENRING STORE";NA
"textual";"Compras";"Roupas";"HERING";NA
